Date,Symbol,Open,High,Low,Close,Adj Close,Volume
8/1/2014,AAPL,94.900002,96.620003,94.809998,96.129997,89.44664,48511000
8/4/2014,AAPL,96.370003,96.580002,95.169998,95.589996,88.944183,39958000
8/5/2014,AAPL,95.360001,95.68,94.360001,95.120003,88.506859,55933000
8/6/2014,AAPL,94.75,95.480003,94.709999,94.959999,88.357979,38558000
8/7/2014,AAPL,94.93,95.949997,94.099998,94.480003,88.348633,46711000
8/8/2014,AAPL,94.260002,94.82,93.279999,94.739998,88.591759,41865000
8/11/2014,AAPL,95.269997,96.080002,94.839996,95.989998,89.760643,36585000
8/12/2014,AAPL,96.040001,96.879997,95.610001,95.970001,89.741943,33795000
8/13/2014,AAPL,96.150002,97.239998,96.040001,97.239998,90.929512,31916000
8/14/2014,AAPL,97.330002,97.57,96.800003,97.5,91.172653,28116000
8/15/2014,AAPL,97.900002,98.190002,96.860001,97.980003,91.621513,48951000
8/18/2014,AAPL,98.489998,99.370003,97.980003,99.160004,92.724922,47572000
8/19/2014,AAPL,99.410004,100.68,99.32,100.529999,94.006012,69399000
8/20/2014,AAPL,100.440002,101.089996,99.949997,100.57,94.043434,52699000
8/21/2014,AAPL,100.57,100.940002,100.110001,100.580002,94.05278,33478000
8/22/2014,AAPL,100.290001,101.470001,100.190002,101.32,94.744743,44184000
8/25/2014,AAPL,101.790001,102.169998,101.279999,101.540001,94.95047,40270000
8/26/2014,AAPL,101.419998,101.5,100.860001,100.889999,94.342651,33152000
8/27/2014,AAPL,101.019997,102.57,100.699997,102.129997,95.502167,52369000
8/28/2014,AAPL,101.589996,102.779999,101.559998,102.25,95.614388,68460000
8/29/2014,AAPL,102.860001,102.900002,102.199997,102.5,95.848152,44595000
9/2/2014,AAPL,103.059998,103.739998,102.720001,103.300003,96.59626,53564000
9/3/2014,AAPL,103.099998,103.199997,98.580002,98.940002,92.519188,125421000
9/4/2014,AAPL,98.849998,100.089996,97.790001,98.120003,91.752419,85718000
9/5/2014,AAPL,98.800003,99.389999,98.309998,98.970001,92.547249,58457000
9/8/2014,AAPL,99.300003,99.309998,98.050003,98.360001,91.976845,46356700
9/9/2014,AAPL,99.080002,103.080002,96.139999,97.989998,91.630852,189846300
9/10/2014,AAPL,98.010002,101.110001,97.760002,101,94.445526,100869600
9/11/2014,AAPL,100.410004,101.440002,99.620003,101.43,94.847603,62353100
9/12/2014,AAPL,101.209999,102.190002,101.080002,101.660004,95.062691,62626100
9/15/2014,AAPL,102.809998,103.050003,101.440002,101.629997,95.034615,61316500
9/16/2014,AAPL,99.800003,101.260002,98.889999,100.860001,94.314598,66908100
9/17/2014,AAPL,101.269997,101.800003,100.589996,101.580002,94.987869,60926500
9/18/2014,AAPL,101.93,102.349998,101.559998,101.790001,95.18425,37299400
9/19/2014,AAPL,102.290001,102.349998,100.5,100.959999,94.408112,70902400
9/22/2014,AAPL,101.800003,102.139999,100.580002,101.059998,94.501625,52788400
9/23/2014,AAPL,100.599998,102.940002,100.540001,102.639999,95.979088,63402200
9/24/2014,AAPL,102.160004,102.849998,101.199997,101.75,95.146843,60171800
9/25/2014,AAPL,100.510002,100.709999,97.720001,97.870003,91.518661,100092000
9/26/2014,AAPL,98.529999,100.75,98.400002,100.75,94.211754,62370500
9/29/2014,AAPL,98.650002,100.440002,98.629997,100.110001,93.613274,49766300
9/30/2014,AAPL,100.809998,101.540001,100.529999,100.75,94.211754,55264100
10/1/2014,AAPL,100.589996,100.690002,98.699997,99.18,92.743637,51491300
10/2/2014,AAPL,99.269997,100.220001,98.040001,99.900002,93.416908,47757800
10/3/2014,AAPL,99.440002,100.209999,99.040001,99.620003,93.155067,43469600
10/6/2014,AAPL,99.949997,100.650002,99.419998,99.620003,93.155067,37051200
10/7/2014,AAPL,99.43,100.120003,98.730003,98.75,92.341522,42094200
10/8/2014,AAPL,98.760002,101.110001,98.309998,100.800003,94.258507,57404700
10/9/2014,AAPL,101.540001,102.379997,100.610001,101.019997,94.464211,77376500
10/10/2014,AAPL,100.690002,102.029999,100.300003,100.730003,94.193039,66331600
10/13/2014,AAPL,101.330002,101.779999,99.809998,99.809998,93.332733,53583400
10/14/2014,AAPL,100.389999,100.519997,98.57,98.75,92.341522,63688600
10/15/2014,AAPL,97.970001,99.150002,95.18,97.540001,91.210045,100933600
